"NAV Sektions-ID","Level 1","Level 2","Level 3","Ist aktiv","Name","Adresse","Zusätzliche Adresszeile","Ort","PLZ","Kanton","Telefonnummer","Haupt-E-Mail","Homepage Jugend","Hat JO","Gründungsjahr","Mit Freigabeprozess","Austritt nur durch Sektion","Sprache","Sektionsbeitrag Mitgliedschaft Einzel","Sektionsbeitrag Mitgliedschaft Familie","Sektionsbeitrag Mitgliedschaft Jugend","Eintrittsgebühr Mitgliedschaft Einzel","Eintrittsgebühr Mitgliedschaft Familie","Eintrittsgebühr Mitgliedschaft Jugend","Porto Ausland Sektionsbulletin","Zentralverbandsgebührenerlass für Ehrenmitglieder","Sektionsgebührenerlass für Ehrenmitglieder","Zentralverbandsgebührenerlass für Begünstigte","Sektionsgebührenerlass für Begünstigte","Reduktionsbetrag Mitgliedsjahre/Alter","Reduktion ab Mitgliedsjahren","Reduktion ab Altersjahren"
"00001050","00001000","00001050",,"1","1050 SAC Aarau","Postfach",,"Aarau","5000","AG",,"sac-aarau@example.ch","https://sac-aarau.ch","1","1863","1","1","deutsch","42.00000000000000000000","77.00000000000000000000","28.00000000000000000000","10.00000000000000000000","10.00000000000000000000","0.00000000000000000000","0.00000000000000000000","1","1","0","0","42.00000000000000000000","40","0"
"00001100","00001000","00001100",,"1","1100 SAC Am Albis","Postfach",,"Affoltern am Albis","8910","ZH",,"sac-am-albis@example.ch","https://sac-am-albis.ch","1","1897","1","1","deutsch","70.00000000000000000000","120.00000000000000000000","30.00000000000000000000","30.00000000000000000000","30.00000000000000000000","0.00000000000000000000","5.00000000000000000000","1","1","1","1","70.00000000000000000000","40","0"
"00001150","00001000","00001150",,"1","1150 SAC Altels","Postfach",,"Kandersteg","3718","BE",,"sac-altels@example.ch","https://sac-altels.ch","1","1901","1","1","deutsch","31.00000000000000000000","58.00000000000000000000","23.00000000000000000000","0.00000000000000000000","0.00000000000000000000","0.00000000000000000000","15.00000000000000000000","1","1","0","0","5.00000000000000000000","50","0"
"00001200","00001000","00001200",,"1","1200 SAC Angenstein","Postfach",,"Basel","4000","BS",,"sac-angenstein@example.ch","https://sac-angenstein.ch","1","1932","1","1","deutsch","60.00000000000000000000","88.00000000000000000000","35.00000000000000000000","0.00000000000000000000","0.00000000000000000000","0.00000000000000000000","10.00000000000000000000","1","1","0","0","60.00000000000000000000","53","0"
"00001250","00001000","00001250",,"1","1250 CAS Argentine","CAS Argentine",,"Bex","1880","VD",,"cas-argentine@example.ch","https://cas-argentine.ch","1","1923","1","1","französisch","42.00000000000000000000","69.00000000000000000000","30.00000000000000000000","10.00000000000000000000","15.00000000000000000000","0.00000000000000000000","10.00000000000000000000","0","1","1","1","42.00000000000000000000","60","0"
"00001300","00001000","00001300",,"1","1300 SAC Arosa","Postfach",,"Arosa","7050","GR",,"sac-arosa@example.ch","https://sac-arosa.ch","1","1916","1","1","deutsch","25.00000000000000000000","35.00000000000000000000","0.00000000000000000000","0.00000000000000000000","0.00000000000000000000","0.00000000000000000000","10.00000000000000000000","0","1","0","1","25.00000000000000000000","40","0"
"00001350","00001000","00001350",,"1","1350 SAC Bachtel","Postfach",,"Rüti ZH","8630","ZH",,"sac-bachtel@example.ch","https://sac-bachtel.ch","1","1871","1","1","deutsch","60.00000000000000000000","90.00000000000000000000","25.00000000000000000000","10.00000000000000000000","10.00000000000000000000","0.00000000000000000000","0.00000000000000000000","1","1","0","1","30.00000000000000000000","40","0"
"00001380","00001000","00001380",,"1","1380 SAC Baldern","Sektion Baldern Zürich",,"Zürich","8000","ZH",,"sac-baldern@example.ch",,"0","1921","1","1","deutsch","50.00000000000000000000","100.00000000000000000000","25.00000000000000000000","10.00000000000000000000","20.00000000000000000000","0.00000000000000000000","0.00000000000000000000","1","1","0","0","50.00000000000000000000","50","0"
"00001400","00001000","00001400",,"1","1400 SAC Basel","Postfach",,"Basel","4000","BS",,"sac-basel@example.ch","https://sac-basel.ch","1","1863","1","1","deutsch","50.00000000000000000000","87.00000000000000000000","30.00000000000000000000","0.00000000000000000000","0.00000000000000000000","0.00000000000000000000","10.00000000000000000000","1","1","0","1","50.00000000000000000000","50","0"
"00001450","00001000","00001450",,"1","1450 SAC Baselland","Postfach",,"Liestal","4410","BL",,"sac-baselland@example.ch","https://sac-baselland.ch","1","1921","1","1","deutsch","42.00000000000000000000","84.00000000000000000000","25.00000000000000000000","10.00000000000000000000","10.00000000000000000000","10.00000000000000000000","10.00000000000000000000","1","1","0","1","42.00000000000000000000","49","0"
